timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668438221521,71,select-7,304,,Thread Group 1-1,,true,,171,608,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438221593,152,select-8,304,,Thread Group 1-1,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438221660,94,select-9,304,,Thread Group 1-1,,true,,171,605,3,3,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438221355,543,preLogin,200,,Thread Group 1-3,text,true,,5390,5975,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,82,0,0
1668438221355,83,preLogin-0,200,,Thread Group 1-3,text,true,,3851,532,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,82,0,0
1668438221448,82,preLogin-1,304,,Thread Group 1-3,,true,,172,604,3,3,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438221449,82,preLogin-2,304,,Thread Group 1-3,,true,,172,609,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438221449,81,preLogin-3,304,,Thread Group 1-3,,true,,170,600,3,3,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438221449,82,preLogin-4,304,,Thread Group 1-3,,true,,170,605,3,3,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438221450,81,preLogin-5,304,,Thread Group 1-3,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438221449,81,preLogin-6,304,,Thread Group 1-3,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438221531,295,preLogin-7,304,,Thread Group 1-3,,true,,171,608,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,226
1668438221533,353,preLogin-8,304,,Thread Group 1-3,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_cats.gif,0,0,284
1668438221533,365,preLogin-9,304,,Thread Group 1-3,,true,,171,605,3,3,https://petstore.octoperf.com/images/sm_birds.gif,0,0,295
1668438222476,472,login,200,,Thread Group 1-3,text,true,,7740,11048,3,3,https://petstore.octoperf.com/actions/Catalog.action,72,0,0
1668438222476,72,login-0,302,,Thread Group 1-3,,true,,218,661,3,3,https://petstore.octoperf.com/actions/Account.action,72,0,0
1668438222549,77,login-1,200,,Thread Group 1-3,text,true,,4955,569,3,3,https://petstore.octoperf.com/actions/Catalog.action,77,0,0
1668438222644,78,login-2,304,,Thread Group 1-3,,true,,172,653,3,3,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438222645,71,login-3,304,,Thread Group 1-3,,true,,172,658,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438222644,72,login-4,304,,Thread Group 1-3,,true,,170,649,3,3,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438222646,78,login-5,304,,Thread Group 1-3,,true,,170,654,3,3,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438222646,71,login-6,304,,Thread Group 1-3,,true,,171,653,3,3,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438222646,76,login-7,304,,Thread Group 1-3,,true,,171,653,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438222717,69,login-8,304,,Thread Group 1-3,,true,,171,657,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438222717,72,login-9,304,,Thread Group 1-3,,true,,171,653,3,3,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438222718,71,login-10,304,,Thread Group 1-3,,true,,171,654,3,3,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438222723,218,login-11,304,,Thread Group 1-3,,true,,171,655,3,3,https://petstore.octoperf.com/images/fish_icon.gif,0,0,148
1668438222723,221,login-12,304,,Thread Group 1-3,,true,,171,655,3,3,https://petstore.octoperf.com/images/dogs_icon.gif,0,0,148
1668438222725,223,login-13,304,,Thread Group 1-3,,true,,171,655,3,3,https://petstore.octoperf.com/images/cats_icon.gif,0,0,152
1668438222786,71,login-14,304,,Thread Group 1-3,,true,,171,659,3,3,https://petstore.octoperf.com/images/reptiles_icon.gif,0,0,0
1668438222789,69,login-15,304,,Thread Group 1-3,,true,,171,656,3,3,https://petstore.octoperf.com/images/birds_icon.gif,0,0,0
1668438222789,70,login-16,304,,Thread Group 1-3,,true,,173,654,3,3,https://petstore.octoperf.com/images/splash.gif,0,0,0
1668438222980,367,cats,200,,Thread Group 1-2,text,true,,5151,5993,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,73,0,0
1668438222980,73,cats-0,200,,Thread Group 1-2,text,true,,3612,550,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,73,0,0
1668438223056,72,cats-1,304,,Thread Group 1-2,,true,,172,604,3,3,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438223056,73,cats-2,304,,Thread Group 1-2,,true,,172,609,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438223056,70,cats-3,304,,Thread Group 1-2,,true,,170,600,3,3,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438223056,72,cats-4,304,,Thread Group 1-2,,true,,170,605,3,3,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438223056,69,cats-5,304,,Thread Group 1-2,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438223057,74,cats-6,304,,Thread Group 1-2,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438223126,211,cats-7,304,,Thread Group 1-2,,true,,171,608,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,143
1668438223127,220,cats-8,304,,Thread Group 1-2,,true,,171,604,3,3,https://petstore.octoperf.com/images/sm_cats.gif,0,0,150
1668438223128,213,cats-9,304,,Thread Group 1-2,,true,,171,605,3,3,https://petstore.octoperf.com/images/sm_birds.gif,0,0,142
1668438223463,531,add to cart,200,,Thread Group 1-1,text,true,,6160,5996,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-14,233,0,159
1668438223463,233,add to cart-0,200,,Thread Group 1-1,text,true,,4621,553,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-14,233,0,159
1668438223703,72,add to cart-1,304,,Thread Group 1-1,,true,,172,604,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438223703,234,add to cart-2,304,,Thread Group 1-1,,true,,172,609,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,164
1668438223704,234,add to cart-3,304,,Thread Group 1-1,,true,,170,600,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,165
1668438223705,236,add to cart-4,304,,Thread Group 1-1,,true,,170,605,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,166
1668438223705,242,add to cart-5,304,,Thread Group 1-1,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,171
1668438223706,244,add to cart-6,304,,Thread Group 1-1,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,173
1668438223776,72,add to cart-7,304,,Thread Group 1-1,,true,,171,608,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438223849,72,add to cart-8,304,,Thread Group 1-1,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438223921,73,add to cart-9,304,,Thread Group 1-1,,true,,171,605,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438223982,826,home,200,,Thread Group 1-4,text,true,,59394,8116,4,4,https://petstore.octoperf.com/actions/Catalog.action,235,0,164
1668438223982,236,home-0,200,,Thread Group 1-4,text,true,,5419,460,4,4,https://petstore.octoperf.com/actions/Catalog.action,235,0,164
1668438224220,229,home-1,200,,Thread Group 1-4,text,true,,5966,508,4,4,https://petstore.octoperf.com/css/jpetstore.css,229,0,157
1668438224220,73,home-2,200,,Thread Group 1-4,bin,true,,4095,513,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,73,0,0
1668438224221,225,home-3,200,,Thread Group 1-4,bin,true,,379,506,4,4,https://petstore.octoperf.com/images/cart.gif,225,0,154
1668438224220,224,home-4,200,,Thread Group 1-4,bin,true,,329,511,4,4,https://petstore.octoperf.com/images/separator.gif,224,0,154
1668438224221,217,home-5,200,,Thread Group 1-4,bin,true,,556,509,4,4,https://petstore.octoperf.com/images/sm_fish.gif,217,0,148
1668438224221,226,home-6,200,,Thread Group 1-4,bin,true,,591,509,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,226,0,156
1668438224298,225,home-7,200,,Thread Group 1-4,bin,true,,683,513,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,225,0,155
1668438224438,215,home-8,200,,Thread Group 1-4,bin,true,,574,509,4,4,https://petstore.octoperf.com/images/sm_cats.gif,215,0,145
1668438224444,216,home-9,200,,Thread Group 1-4,bin,true,,536,510,4,4,https://petstore.octoperf.com/images/sm_birds.gif,216,0,146
1668438224447,223,home-10,200,,Thread Group 1-4,bin,true,,724,511,4,4,https://petstore.octoperf.com/images/fish_icon.gif,223,0,153
1668438224447,213,home-11,200,,Thread Group 1-4,bin,true,,753,511,4,4,https://petstore.octoperf.com/images/dogs_icon.gif,213,0,144
1668438224450,220,home-12,200,,Thread Group 1-4,bin,true,,693,511,4,4,https://petstore.octoperf.com/images/cats_icon.gif,220,0,148
1668438224523,71,home-13,200,,Thread Group 1-4,bin,true,,954,515,4,4,https://petstore.octoperf.com/images/reptiles_icon.gif,70,0,0
1668438224594,72,home-14,200,,Thread Group 1-4,bin,true,,756,512,4,4,https://petstore.octoperf.com/images/birds_icon.gif,72,0,0
1668438224653,155,home-15,200,,Thread Group 1-4,bin,true,,36386,508,4,4,https://petstore.octoperf.com/images/splash.gif,79,0,0
1668438224490,389,select,200,,Thread Group 1-2,text,true,,5593,5996,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,71,0,0
1668438224490,72,select-0,200,,Thread Group 1-2,text,true,,4054,553,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,71,0,0
1668438224564,71,select-1,304,,Thread Group 1-2,,true,,172,604,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438224564,72,select-2,304,,Thread Group 1-2,,true,,172,609,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438224565,73,select-3,304,,Thread Group 1-2,,true,,170,600,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438224565,70,select-4,304,,Thread Group 1-2,,true,,170,605,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438224565,75,select-5,304,,Thread Group 1-2,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438224565,72,select-6,304,,Thread Group 1-2,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438224635,241,select-7,304,,Thread Group 1-2,,true,,171,608,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,171
1668438224635,229,select-8,304,,Thread Group 1-2,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,161
1668438224636,243,select-9,304,,Thread Group 1-2,,true,,171,605,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,174
1668438226022,230,add to cart,200,,Thread Group 1-2,text,true,,6160,5996,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-14,74,0,0
1668438226022,75,add to cart-0,200,,Thread Group 1-2,text,true,,4621,553,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-14,74,0,0
1668438226104,71,add to cart-1,304,,Thread Group 1-2,,true,,172,604,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438226104,77,add to cart-2,304,,Thread Group 1-2,,true,,172,609,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438226105,70,add to cart-3,304,,Thread Group 1-2,,true,,170,600,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438226106,73,add to cart-4,304,,Thread Group 1-2,,true,,170,605,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438226107,70,add to cart-5,304,,Thread Group 1-2,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438226107,72,add to cart-6,304,,Thread Group 1-2,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438226177,72,add to cart-7,304,,Thread Group 1-2,,true,,171,608,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438226177,71,add to cart-8,304,,Thread Group 1-2,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438226177,75,add to cart-9,304,,Thread Group 1-2,,true,,171,605,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438226144,228,preLogin,200,,Thread Group 1-4,text,true,,5386,5975,4,4,https://petstore.octoperf.com/actions/Account.action?signonForm=,72,0,0
1668438226144,72,preLogin-0,200,,Thread Group 1-4,text,true,,3847,532,4,4,https://petstore.octoperf.com/actions/Account.action?signonForm=,72,0,0
1668438226222,72,preLogin-1,304,,Thread Group 1-4,,true,,172,604,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438226224,76,preLogin-2,304,,Thread Group 1-4,,true,,172,609,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438226223,73,preLogin-3,304,,Thread Group 1-4,,true,,170,600,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,0
1668438226225,75,preLogin-4,304,,Thread Group 1-4,,true,,170,605,4,4,https://petstore.octoperf.com/images/separator.gif,0,0,0
1668438226225,75,preLogin-5,304,,Thread Group 1-4,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_fish.gif,0,0,0
1668438226226,76,preLogin-6,304,,Thread Group 1-4,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_dogs.gif,0,0,0
1668438226295,72,preLogin-7,304,,Thread Group 1-4,,true,,171,608,4,4,https://petstore.octoperf.com/images/sm_reptiles.gif,0,0,0
1668438226297,72,preLogin-8,304,,Thread Group 1-4,,true,,171,604,4,4,https://petstore.octoperf.com/images/sm_cats.gif,0,0,0
1668438226301,71,preLogin-9,304,,Thread Group 1-4,,true,,171,605,4,4,https://petstore.octoperf.com/images/sm_birds.gif,0,0,0
1668438226799,370,cats,200,,Thread Group 1-3,text,true,,5151,5993,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,74,0,0
1668438226799,74,cats-0,200,,Thread Group 1-3,text,true,,3612,550,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,74,0,0
1668438226875,75,cats-1,304,,Thread Group 1-3,,true,,172,604,4,4,https://petstore.octoperf.com/css/jpetstore.css,0,0,0
1668438226875,74,cats-2,304,,Thread Group 1-3,,true,,172,609,4,4,https://petstore.octoperf.com/images/logo-topbar.gif,0,0,0
1668438226876,70,cats-3,304,,Thread Group 1-3,,true,,170,600,4,4,https://petstore.octoperf.com/images/cart.gif,0,0,0
